country,foundation,mean,sd,n,se,ci95_lo,ci95_hi
MY,warmth,3.461,0.562,400,0.028,3.406,3.516
EC,warmth,3.573,0.509,131,0.044,3.486,3.66
ZA,warmth,3.774,0.613,355,0.033,3.71,3.838
ID,warmth,3.423,0.622,345,0.033,3.357,3.488
AU,warmth,3.716,0.618,2538,0.012,3.692,3.74
HK,warmth,3.636,0.57,228,0.038,3.562,3.71
IE,warmth,3.764,0.563,397,0.028,3.708,3.819
ES,warmth,3.689,0.65,180,0.048,3.594,3.784
SG,warmth,3.583,0.62,464,0.029,3.527,3.64
TH,warmth,3.496,0.549,113,0.052,3.395,3.597
GB,warmth,3.675,0.606,5045,0.009,3.658,3.692
US,warmth,3.732,0.645,23937,0.004,3.723,3.74
SE,warmth,3.647,0.673,393,0.034,3.581,3.714
TR,warmth,3.656,0.659,149,0.054,3.55,3.761
IT,warmth,3.485,0.686,253,0.043,3.4,3.569
DE,warmth,3.523,0.689,358,0.036,3.452,3.594
FI,warmth,3.457,0.682,292,0.04,3.379,3.535
PL,warmth,3.332,0.763,188,0.056,3.223,3.441
NO,warmth,3.711,0.598,263,0.037,3.638,3.783
CN,warmth,3.549,0.594,153,0.048,3.455,3.643
GR,warmth,3.667,0.555,204,0.039,3.591,3.743
DK,warmth,3.674,0.702,124,0.063,3.55,3.798
AE,warmth,3.783,0.505,220,0.034,3.717,3.85
RO,warmth,3.498,0.615,204,0.043,3.413,3.582
CA,warmth,3.713,0.634,2644,0.012,3.689,3.738
HR,warmth,3.663,0.599,127,0.053,3.559,3.767
PH,warmth,3.677,0.54,2045,0.012,3.653,3.7
PK,warmth,3.74,0.558,242,0.036,3.67,3.81
BR,warmth,3.316,0.689,168,0.053,3.211,3.42
NL,warmth,3.666,0.685,265,0.042,3.583,3.748
NZ,warmth,3.592,0.653,317,0.037,3.52,3.664
FR,warmth,3.4,0.797,284,0.047,3.307,3.492
MX,warmth,3.585,0.641,234,0.042,3.502,3.667
IN,warmth,3.742,0.571,3234,0.01,3.722,3.762
GR,reasoning,3.856,0.458,203,0.032,3.793,3.919
DK,reasoning,3.882,0.49,124,0.044,3.795,3.968
DE,reasoning,3.898,0.479,358,0.025,3.848,3.947
PK,reasoning,3.564,0.524,242,0.034,3.498,3.63
PH,reasoning,3.507,0.486,2046,0.011,3.486,3.528
IE,reasoning,3.77,0.511,397,0.026,3.72,3.821
GB,reasoning,3.614,0.54,5044,0.008,3.6,3.629
SG,reasoning,3.561,0.524,464,0.024,3.513,3.608
RO,reasoning,3.819,0.532,204,0.037,3.746,3.892
BR,reasoning,3.894,0.524,168,0.04,3.815,3.974
FR,reasoning,3.802,0.531,284,0.031,3.74,3.864
CA,reasoning,3.775,0.494,2644,0.01,3.756,3.793
TH,reasoning,3.496,0.47,113,0.044,3.409,3.583
HR,reasoning,3.909,0.425,126,0.038,3.835,3.983
IN,reasoning,3.589,0.52,3232,0.009,3.571,3.607
ZA,reasoning,3.862,0.496,355,0.026,3.81,3.913
SE,reasoning,3.911,0.534,393,0.027,3.858,3.964
US,reasoning,3.754,0.521,23931,0.003,3.747,3.76
PL,reasoning,3.87,0.532,188,0.039,3.794,3.946
ID,reasoning,3.495,0.517,345,0.028,3.441,3.55
CN,reasoning,3.569,0.534,154,0.043,3.485,3.654
IT,reasoning,3.796,0.465,253,0.029,3.739,3.854
EC,reasoning,3.613,0.378,131,0.033,3.548,3.678
AU,reasoning,3.677,0.539,2538,0.011,3.656,3.698
AE,reasoning,3.574,0.505,220,0.034,3.507,3.641
