country,foundation,mean,sd,n,se,ci95_lo,ci95_hi
ID,extraversion,2.897,0.83,172,0.063,2.773,3.021
DE,extraversion,2.969,0.949,191,0.069,2.834,3.103
FR,extraversion,2.929,0.914,129,0.08,2.771,3.086
(nu,extraversion,2.972,0.941,369,0.049,2.876,3.068
IN,extraversion,3.024,0.815,1463,0.021,2.982,3.066
GB,extraversion,3.042,0.937,1531,0.024,2.995,3.089
AE,extraversion,3.026,0.755,100,0.075,2.878,3.174
IT,extraversion,2.927,0.754,277,0.045,2.838,3.016
PH,extraversion,2.804,0.759,649,0.03,2.746,2.863
US,extraversion,3.038,0.959,8753,0.01,3.018,3.058
SG,extraversion,2.695,0.911,133,0.079,2.541,2.85
DK,extraversion,3.327,0.947,122,0.086,3.159,3.495
RO,extraversion,2.865,0.939,135,0.081,2.707,3.024
PK,extraversion,2.997,0.877,222,0.059,2.882,3.113
ZA,extraversion,3.066,0.876,179,0.065,2.938,3.194
BR,extraversion,2.594,0.915,175,0.069,2.459,2.73
MY,extraversion,2.881,0.732,247,0.047,2.79,2.973
NL,extraversion,3.136,0.958,133,0.083,2.973,3.299
IE,extraversion,3.18,0.82,107,0.079,3.025,3.336
NO,extraversion,3.206,0.871,147,0.072,3.065,3.347
SE,extraversion,3.073,0.96,169,0.074,2.928,3.218
AU,extraversion,3.091,0.943,974,0.03,3.032,3.15
CA,extraversion,3.02,0.954,924,0.031,2.958,3.082
NZ,extraversion,3.047,0.975,157,0.078,2.895,3.2
US,neuroticism,3.037,0.886,8753,0.009,3.018,3.055
PK,neuroticism,3.387,0.73,222,0.049,3.291,3.483
SG,neuroticism,3.192,0.796,133,0.069,3.056,3.327
PH,neuroticism,3.272,0.737,649,0.029,3.215,3.329
NZ,neuroticism,3.016,0.813,157,0.065,2.889,3.143
AE,neuroticism,3.288,0.739,100,0.074,3.143,3.433
NO,neuroticism,2.914,0.861,147,0.071,2.774,3.053
IE,neuroticism,3.041,0.845,107,0.082,2.881,3.201
GB,neuroticism,3.244,0.879,1531,0.022,3.2,3.288
NL,neuroticism,2.942,0.954,133,0.083,2.78,3.104
ZA,neuroticism,2.974,0.94,179,0.07,2.837,3.112
ID,neuroticism,3.174,0.779,172,0.059,3.058,3.291
CA,neuroticism,3.026,0.87,924,0.029,2.97,3.082
(nu,neuroticism,3.147,0.864,369,0.045,3.059,3.235
IN,neuroticism,3.238,0.804,1463,0.021,3.197,3.279
DE,neuroticism,2.97,0.842,191,0.061,2.851,3.09
BR,neuroticism,3.335,0.812,175,0.061,3.215,3.456
SE,neuroticism,3.068,0.895,169,0.069,2.933,3.203
AU,neuroticism,3.082,0.856,974,0.027,3.028,3.136
RO,neuroticism,3.118,0.747,135,0.064,2.992,3.244
MY,neuroticism,3.096,0.708,247,0.045,3.008,3.185
FR,neuroticism,3.212,0.772,129,0.068,3.078,3.345
DK,neuroticism,2.764,0.918,122,0.083,2.601,2.927
IT,neuroticism,3.125,0.777,277,0.047,3.033,3.216
MY,agreeableness,3.717,0.549,247,0.035,3.648,3.785
PK,agreeableness,3.826,0.582,222,0.039,3.749,3.902
BR,agreeableness,3.486,0.733,175,0.055,3.377,3.594
AE,agreeableness,3.909,0.578,100,0.058,3.796,4.022
IT,agreeableness,3.76,0.642,277,0.039,3.685,3.836
SE,agreeableness,3.757,0.728,169,0.056,3.648,3.867
(nu,agreeableness,3.839,0.688,369,0.036,3.769,3.909
NL,agreeableness,3.859,0.64,133,0.056,3.75,3.967
NO,agreeableness,3.904,0.66,147,0.054,3.797,4.011
